"ID","Number","Nationwide number","Name","Original name","Sex","Year of birth","Nationality","Military/Civilian","Selection","Year of Selection","mission number","total number of missions","Occupation","Year of mission","Mission title","Ascend shuttle","In orbit","Descend shuttle","Hours/mission","Total hrs (sum)","Field21","EVA hrs/mission","Total EVA hrs"
647,280.00,1.00,"Nicollier, Claude","Nicollier, Claude","M",1944.00,"Switzerland","Civ","1978 ESA Group",1978.00,4.00,4.00,"MSP",1999.00,"STS-103","STS-103","STS-103","STS-103",191.18,1184.07,1.00,8.16,8.16
648,281.00,1.00,"Franco Malerba","Franco Malerba","M",1946.00,"Italy","Civ","1989 ESA Group",1998.00,1.00,1.00,"PSP",1992.00,"sts-46","STS-46","STS-46","STS-46",191.25,191.25,0.00,0.00,0.00
649,282.00,177.00,"Brown, Curtis L., Jr.","Brown, Curtis L., Jr.","M",1956.00,"U.S.","Mil","NASA- 12",1987.00,1.00,6.00,"pilot",1992.00,"STS-47","STS-47","STS-47","STS-47",190.50,1381.00,0.00,0.00,0.00
650,282.00,177.00,"Brown, Curtis L., Jr.","Brown, Curtis L., Jr.","M",1956.00,"U.S.","Mil","NASA- 12",1987.00,2.00,6.00,"pilot",1994.00,"STS-66","STS-66","STS-66","STS-66",262.50,1381.00,0.00,0.00,0.00
651,282.00,177.00,"Brown, Curtis L., Jr.","Brown, Curtis L., Jr.","M",1956.00,"U.S.","Mil","NASA- 12",1987.00,3.00,6.00,"pilot",1996.00,"STS-77","STS-77","STS-77","STS-77",240.50,1381.00,0.00,0.00,0.00
652,282.00,177.00,"Brown, Curtis L., Jr.","Brown, Curtis L., Jr.","M",1956.00,"U.S.","Mil","NASA- 12",1987.00,4.00,6.00,"commander",1997.00,"STS-85","STS-85","STS-85","STS-85",284.50,1381.00,0.00,0.00,0.00
653,282.00,177.00,"Brown, Curtis L., Jr.","Brown, Curtis L., Jr.","M",1956.00,"U.S.","Mil","NASA- 12",1987.00,5.00,6.00,"commander",1998.00,"STS-95","STS-95","STS-95","STS-95",213.50,1381.00,0.00,0.00,0.00
654,282.00,177.00,"Brown, Curtis L., Jr.","Brown, Curtis L., Jr.","M",1956.00,"U.S.","Mil","NASA- 12",1987.00,6.00,6.00,"commander",1999.00,"STS-103","STS-103","STS-103","STS-103",191.00,1381.00,0.00,0.00,0.00
655,283.00,178.00,"Davis, Nancy Jan","Davis, Nancy Jan","F",1953.00,"U.S.","Civ","NASA- 12",1987.00,1.00,3.00,"MSP",1992.00,"STS-47","STS-47","STS-47","STS-47",190.50,673.00,0.00,0.00,0.00
656,283.00,178.00,"Davis, Nancy Jan","Davis, Nancy Jan","F",1953.00,"U.S.","Civ","NASA- 12",1987.00,2.00,3.00,"MSP",1994.00,"STS-60","STS-60","STS-60","STS-60",199.00,673.00,0.00,0.00,0.00
