"ID","Number","Nationwide number","Name","Original name","Sex","Year of birth","Nationality","Military/Civilian","Selection","Year of Selection","mission number","total number of missions","Occupation","Year of mission","Mission title","Ascend shuttle","In orbit","Descend shuttle","Hours/mission","Total hrs (sum)","Field21","EVA hrs/mission","Total EVA hrs"
1,1.00,1.00,"Gagarin, Yuri","ГАГАРИН Юрий Алексеевич","M",1934.00,"U.S.S.R/Russia","Mil","TsPK-1",1960.00,1.00,1.00,"pilot",1961.00,"Vostok 1","Vostok 1","Vostok 2","Vostok 3",1.77,1.77,0.00,0.00,0.00
2,2.00,2.00,"Titov, Gherman","ТИТОВ Герман Степанович","M",1935.00,"U.S.S.R/Russia","Mil","TsPK-1",1960.00,1.00,1.00,"pilot",1961.00,"Vostok 2","Vostok 2","Vostok 2","Vostok 2",25.00,25.30,0.00,0.00,0.00
3,3.00,1.00,"Glenn, John H., Jr.","Glenn, John H., Jr.","M",1921.00,"U.S.","Mil","NASA Astronaut Group 1",1959.00,1.00,2.00,"pilot",1962.00,"MA-6","MA-6","MA-6","MA-6",5.00,218.00,0.00,0.00,0.00
4,3.00,1.00,"Glenn, John H., Jr.","Glenn, John H., Jr.","M",1921.00,"U.S.","Mil","NASA Astronaut Group 2",1959.00,2.00,2.00,"PSP",1998.00,"STS-95","STS-95","STS-95","STS-95",213.00,218.00,0.00,0.00,0.00
5,4.00,2.00,"Carpenter, M. Scott","Carpenter, M. Scott","M",1925.00,"U.S.","Mil","NASA- 1",1959.00,1.00,1.00,"Pilot",1962.00,"Mercury-Atlas 7","Mercury-Atlas 7","Mercury-Atlas 7","Mercury-Atlas 7",5.00,5.00,0.00,0.00,0.00
6,5.00,2.00,"Nikolayev, Andriyan","НИКОЛАЕВ Андриян Григорьевич","M",1929.00,"U.S.S.R/Russia","Mil","TsPK-1",1960.00,1.00,2.00,"pilot",1962.00,"Vostok 3","Vostok 3","Vostok 3","Vostok 3",94.00,519.33,0.00,0.00,0.00
7,5.00,2.00,"Nikolayev, Andriyan","НИКОЛАЕВ Андриян Григорьевич","M",1929.00,"U.S.S.R/Russia","Mil","TsPK-2",1960.00,2.00,2.00,"pilot",1970.00,"Soyuz 9","Soyuz 9","Soyuz 9","Soyuz 9",424.00,519.33,0.00,0.00,0.00
8,6.00,4.00,"Popovich, Pavel","ПОПОВИЧ Павел Романович","M",1930.00,"U.S.S.R/Russia","Mil","TsPK-1",1960.00,1.00,2.00,"pilot",1962.00,"Vostok 4","Vostok 4","Vostok 4","Vostok 4",70.93,448.45,0.00,0.00,0.00
9,6.00,4.00,"Popovich, Pavel","ПОПОВИЧ Павел Романович","M",1930.00,"U.S.S.R/Russia","Mil","TsPK-2",1960.00,2.00,2.00,"commander",1974.00,"Soyuz 14","Soyuz 14","Soyuz 14","Soyuz 14",377.00,448.45,0.00,0.00,0.00
10,7.00,3.00,"Schirra, Walter M., Jr.","Schirra, Walter M., Jr.","M",1923.00,"U.S.","Mil","1959 NASA group 1",1959.00,1.00,3.00,"pilot",1962.00,"Mercury-Atlas 8","Mercury-Atlas 8","Mercury-Atlas 8","Mercury-Atlas 8",9.22,295.20,0.00,0.00,0.00
11,7.00,3.00,"Schirra, Walter M., Jr.","Schirra, Walter M., Jr.","M",1923.00,"U.S.","Mil","1960 NASA group 1",1959.00,2.00,3.00,"commander",1965.00,"Gemini 6A","Gemini 6A","Gemini 6A","Gemini 6A",25.87,295.20,0.00,0.00,0.00
12,7.00,3.00,"Schirra, Walter M., Jr.","Schirra, Walter M., Jr.","M",1923.00,"U.S.","Mil","1961 NASA group 1",1959.00,3.00,3.00,"commander",1968.00,"Apollo 7","Apollo 7","Apollo 7","Apollo 7",260.13,295.20,0.00,0.00,0.00
13,8.00,4.00,"Cooper, L. Gordon, Jr.","Cooper, L. Gordon, Jr.","M",1927.00,"U.S.","Mil","NASA- 1",1959.00,1.00,2.00,"pilot",1963.00,"Mercury-Atlas 9","Mercury-Atlas 9","Mercury-Atlas 9","Mercury-Atlas 9",34.32,225.00,0.00,0.00,0.00
14,8.00,4.00,"Cooper, L. Gordon, Jr.","Cooper, L. Gordon, Jr.","M",1927.00,"U.S.","Mil","NASA- 1",1959.00,2.00,2.00,"commander",1965.00,"Gemini 5","Gemini 5","Gemini 5","Gemini 5",191.92,225.00,0.00,0.00,0.00
15,9.00,5.00,"Bykovsky, Valery","БЫКОВСКИЙ Валерий Федорович","M",1934.00,"U.S.S.R/Russia","Mil","TsPK-1",1960.00,1.00,3.00,"pilot",1963.00,"Vostok 5","Vostok 5","Vostok 5","Vostok 5",119.13,497.80,0.00,0.00,0.00
16,9.00,5.00,"Bykovsky, Valery","БЫКОВСКИЙ Валерий Федорович","M",1934.00,"U.S.S.R/Russia","Mil","TsPK-2",1960.00,2.00,3.00,"commander",1976.00,"Soyuz 22","Soyuz 22","Soyuz 22","Soyuz 22",189.00,497.80,0.00,0.00,0.00
17,9.00,5.00,"Bykovsky, Valery","БЫКОВСКИЙ Валерий Федорович","M",1934.00,"U.S.S.R/Russia","Mil","TsPK-3",1960.00,3.00,3.00,"commander",1978.00,"Soyuz 31/29","Soyuz 31","Salyut 6","Soyuz 29",188.00,497.80,0.00,0.00,0.00
18,10.00,6.00,"Tereshkova, Valentina","ТЕРЕШКОВА Валентина Владимировна","F",1937.00,"U.S.S.R/Russia","Mil","VVS Women",1962.00,1.00,1.00,"pilot",1963.00,"Vostok 6","Vostok 6","Vostok 6","Vostok 6",70.83,70.83,0.00,0.00,0.00
19,11.00,7.00,"Komarov, Vladimir","КОМАРОВ Владимир Михайлович","M",1927.00,"U.S.S.R/Russia","Mil","TsPK-1",1960.00,1.00,2.00,"commander",1964.00,"Voskhod 1","Voskhod 1","Voskhod 1","Voskhod 1",24.28,51.07,0.00,0.00,0.00
20,11.00,7.00,"Komarov, Vladimir","КОМАРОВ Владимир Михайлович","M",1927.00,"U.S.S.R/Russia","Mil","TsPK-2",1960.00,2.00,2.00,"commander",1967.00,"Soyuz 1","Soyuz 1","Soyuz 1","Soyuz 1",26.78,51.07,0.00,0.00,0.00
21,12.00,8.00,"Feoktistov, Konstantin","ФЕОКТИСТОВ Константин Петрович","M",1926.00,"U.S.S.R/Russia","Civ","Voskhod-1 / TsKBEM-1",1964.00,1.00,1.00,"MSP",1964.00,"Voskhod 1","Voskhod 1","Voskhod 1","Voskhod 1",24.28,24.28,0.00,0.00,0.00
22,13.00,9.00,"Yegorov, Boris","ЕГОРОВ Борис Борисович","M",1937.00,"U.S.S.R/Russia","Civ","Voskhod-1",1964.00,1.00,1.00,"MSP",1964.00,"Voskhod 1","Voskhod 1","Voskhod 1","Voskhod 1",24.28,24.28,0.00,0.00,0.00
23,14.00,10.00,"Belyayev, Pavel","БЕЛЯЕВ Павел Иванович","M",1925.00,"U.S.S.R/Russia","Mil","TsPK-1",1960.00,1.00,1.00,"commander",1965.00,"Voskhod 2","Voskhod 2","Voskhod 2","Voskhod 2",26.03,26.03,0.00,0.00,0.00
24,15.00,11.00,"Leonov, Aleksei","ЛЕОНОВ Алексей Архипович","M",1934.00,"U.S.S.R/Russia","Mil","TsPK-1",1960.00,1.00,2.00,"pilot",1965.00,"Voskhod 2","Voskhod 2","Voskhod 2","Voskhod 2",26.03,168.53,1.00,0.73,0.73
25,15.00,11.00,"Leonov, Aleksei","ЛЕОНОВ Алексей Архипович","M",1934.00,"U.S.S.R/Russia","Mil","TsPK-2",1960.00,2.00,2.00,"commander",1975.00,"Soyuz 19","Soyuz 19","Soyuz 19/Apollo","Soyuz 19",142.00,168.53,0.00,0.00,0.73
26,16.00,5.00,"Grissom, Virgil I.","Grissom, Virgil I.","M",1926.00,"U.S.","Mil","NASA Astronaut Group 2",1959.00,1.00,1.00,"commander",1965.00,"Gemini 3","Gemini 3","Gemini 3","Gemini 3",4.86,4.86,0.00,0.00,0.00
27,17.00,6.00,"Young, John W.","Young, John W.","M",1930.00,"U.S.","Mil","1962 NASA group 2",1962.00,1.00,6.00,"pilot",1965.00,"Gemini 3","Gemini 3","Gemini 3","Gemini 3",4.86,835.65,0.00,0.00,20.23
28,17.00,6.00,"Young, John W.","Young, John W.","M",1930.00,"U.S.","Mil","1963 NASA group 2",1962.00,2.00,6.00,"pilot",1966.00,"Gemini 10","Gemini 10","Gemini 10","Gemini 10",70.77,835.65,0.00,0.00,20.23
29,17.00,6.00,"Young, John W.","Young, John W.","M",1930.00,"U.S.","Mil","1964 NASA group 2",1962.00,3.00,6.00,"pilot",1969.00,"Apollo 10","Apollo 10","Apollo 10","Apollo 10",192.05,835.65,0.00,0.00,20.23
30,17.00,6.00,"Young, John W.","Young, John W.","M",1930.00,"U.S.","Mil","1965 NASA group 2",1962.00,4.00,6.00,"commander",1972.00,"Apollo 16","Apollo 16","Apollo 16","Apollo 16",265.85,835.65,3.00,20.23,20.23
31,17.00,6.00,"Young, John W.","Young, John W.","M",1930.00,"U.S.","Mil","1966 NASA group 2",1962.00,5.00,6.00,"commander",1981.00,"STS-1","STS-1","STS-1","STS-1",54.50,835.65,0.00,0.00,20.23
32,17.00,6.00,"Young, John W.","Young, John W.","M",1930.00,"U.S.","Mil","1967 NASA group 2",1962.00,6.00,6.00,"commander",1983.00,"STS-9","STS-9","STS-9","STS-9",240.00,835.65,0.00,0.00,20.23
33,18.00,7.00,"McDivitt, James A.","McDivitt, James A.","M",1929.00,"U.S.","Mil","NASA- 2",1962.00,1.00,2.00,"commander",1965.00,"Gemini 4","Gemini 4","Gemini 4","Gemini 4",97.00,338.00,0.00,0.00,0.00
34,18.00,7.00,"McDivitt, James A.","McDivitt, James A.","M",1929.00,"U.S.","Mil","NASA- 2",1962.00,2.00,2.00,"commander",1969.00,"Apollo 9","Apollo 9","Apollo 9","Apollo 9",241.00,338.00,0.00,0.00,0.00
35,19.00,8.00,"White, Edward H., II","White, Edward H., II","M",1930.00,"U.S.","Mil","1962 NASA group 2",1962.00,1.00,1.00,"pilot",1965.00,"Gemini 4","Gemini 4","Gemini 4","Gemini 4",97.93,97.93,1.00,0.33,0.33
36,20.00,9.00,"Conrad, Charles, Jr.","Conrad, Charles, Jr.","M",1930.00,"U.S.","Mil","NASA- 2",1962.00,1.00,4.00,"pilot",1965.00,"Gemini 5","Gemini 5","Gemini 5","Gemini 5",191.00,1179.00,0.00,0.00,12.77
37,20.00,9.00,"Conrad, Charles, Jr.","Conrad, Charles, Jr.","M",1930.00,"U.S.","Mil","NASA- 2",1962.00,2.00,4.00,"commander",1966.00,"Gemini 11","Gemini 11","Gemini 11","Gemini 11",71.00,1179.00,0.00,0.00,12.77
38,20.00,9.00,"Conrad, Charles, Jr.","Conrad, Charles, Jr.","M",1930.00,"U.S.","Mil","NASA- 2",1962.00,3.00,4.00,"commander",1969.00,"Apollo 12","Apollo 12","Apollo 12","Apollo 12",244.00,1179.00,2.00,7.75,12.77
39,20.00,9.00,"Conrad, Charles, Jr.","Conrad, Charles, Jr.","M",1930.00,"U.S.","Mil","NASA- 2",1962.00,4.00,4.00,"commander",1973.00,"Skylab 2","Skylab 2","Skylab 2","Skylab 2",673.00,1179.00,2.00,5.02,12.77
40,21.00,10.00,"Borman, Frank","Borman, Frank","M",1928.00,"U.S.","Mil","NASA- 2",1962.00,1.00,2.00,"commander",1965.00,"Gemini 7","Gemini 7","Gemini 7","Gemini 7",330.58,477.00,0.00,0.00,0.00
41,21.00,10.00,"Borman, Frank","Borman, Frank","M",1928.00,"U.S.","Mil","NASA- 2",1962.00,2.00,2.00,"commander",1968.00,"Apollo 8","Apollo 8","Apollo 8","Apollo 8",147.00,477.00,0.00,0.00,0.00
42,22.00,11.00,"Lovell, James A., Jr.","Lovell, James A., Jr.","M",1928.00,"U.S.","Mil","NASA- 2",1962.00,1.00,4.00,"pilot",1965.00,"Gemini 7","Gemini 7","Gemini 7","Gemini 7",330.58,715.05,0.00,0.00,0.00
43,22.00,11.00,"Lovell, James A., Jr.","Lovell, James A., Jr.","M",1928.00,"U.S.","Mil","NASA- 2",1962.00,2.00,4.00,"commander",1966.00,"Gemini 12","Gemini 12","Gemini 12","Gemini 12",94.00,715.05,0.00,0.00,0.00
44,22.00,11.00,"Lovell, James A., Jr.","Lovell, James A., Jr.","M",1928.00,"U.S.","Mil","NASA- 2",1962.00,3.00,4.00,"pilot",1968.00,"Apollo 8","Apollo 8","Apollo 8","Apollo 8",147.00,715.05,0.00,0.00,0.00
45,22.00,11.00,"Lovell, James A., Jr.","Lovell, James A., Jr.","M",1928.00,"U.S.","Mil","NASA- 2",1962.00,4.00,4.00,"commander",1970.00,"Apollo 13","Apollo 13","Apollo 13","Apollo 13",142.00,715.05,0.00,0.00,0.00
46,23.00,12.00,"Stafford, Thomas P.","Stafford, Thomas P.","M",1930.00,"U.S.","Mil","1996 NASA group",1962.00,1.00,4.00,"pilot",1965.00,"gemini 6A","gemini 6A","gemini 6A","gemini 6A",25.86,508.00,0.00,0.00,0.00
47,23.00,12.00,"Stafford, Thomas P.","Stafford, Thomas P.","M",1930.00,"U.S.","Mil","1996 NASA group",1962.00,2.00,4.00,"commander",1966.00,"Gemini 9A","Gemini 9A","Gemini 9A","Gemini 9A",72.00,508.00,0.00,0.00,0.00
48,23.00,12.00,"Stafford, Thomas P.","Stafford, Thomas P.","M",1930.00,"U.S.","Mil","1996 NASA group",1962.00,3.00,4.00,"commander",1969.00,"Apollo 10","Apollo 10","Apollo 10","Apollo 10",192.00,508.00,0.00,0.00,0.00
49,23.00,12.00,"Stafford, Thomas P.","Stafford, Thomas P.","M",1930.00,"U.S.","Mil","1996 NASA group",1962.00,4.00,4.00,"commander",1975.00,"ASTP","ASTP","ASTP","ASTP",217.00,508.00,0.00,0.00,0.00
50,24.00,13.00,"Armstrong, Neil A.","Armstrong, Neil A.","M",1930.00,"U.S.","Civ","1958 USAF Man in Space Soonest, 1960 USAF Dyna-Soar, NASA- 2",1962.00,1.00,2.00,"commander",1966.00,"Gemini 8","Gemini 8","Gemini 8","Gemini 8",11.00,206.00,0.00,0.00,2.51
51,24.00,13.00,"Armstrong, Neil A.","Armstrong, Neil A.","M",1930.00,"U.S.","Civ","1958 USAF Man in Space Soonest, 1960 USAF Dyna-Soar, NASA- 2",1962.00,2.00,2.00,"commander",1969.00,"Apollo 11","Apollo 11","Apollo 11","Apollo 11",195.00,206.00,1.00,2.52,2.51
52,25.00,14.00,"Scott, David R.","Scott, David R.","M",1932.00,"U.S.","Mil","1963 NASA group 3",1963.00,1.00,3.00,"pilot",1966.00,"Gemini 8","Gemini 8","Gemini 8","Gemini 8",240.68,546.00,0.00,0.00,19.90
53,25.00,14.00,"Scott, David R.","Scott, David R.","M",1932.00,"U.S.","Mil","1963 NASA group 3",1963.00,2.00,3.00,"pilot",1969.00,"Apollo 9","Apollo 9","Apollo 9","Apollo 9",241.00,546.00,1.00,1.13,19.90
54,25.00,14.00,"Scott, David R.","Scott, David R.","M",1932.00,"U.S.","Mil","1963 NASA group 3",1963.00,3.00,3.00,"commander",1971.00,"Apollo 15","Apollo 15","Apollo 15","Apollo 15",312.00,546.00,3.00,18.77,19.90
55,26.00,15.00,"Cernan, Eugene A.","Cernan, Eugene A.","M",1934.00,"U.S.","Mil","NASA- 3",1963.00,1.00,3.00,"pilot",1966.00,"Gemini 9A","Gemini 9A","Gemini 9A","Gemini 9A",72.00,565.00,1.00,2.12,24.18
56,26.00,15.00,"Cernan, Eugene A.","Cernan, Eugene A.","M",1934.00,"U.S.","Mil","NASA- 3",1963.00,2.00,3.00,"pilot",1969.00,"Apollo 10","Apollo 10","Apollo 10","Apollo 10",192.05,565.00,0.00,0.00,24.18
57,26.00,15.00,"Cernan, Eugene A.","Cernan, Eugene A.","M",1934.00,"U.S.","Mil","NASA- 3",1963.00,3.00,3.00,"commander",1972.00,"Apollo 17","Apollo 17","Apollo 17","Apollo 17",302.00,565.00,3.00,22.13,24.18
58,27.00,16.00,"Collins, Michael","Collins, Michael","M",1930.00,"U.S.","Civ","NASA- 3",1963.00,1.00,2.00,"pilot",1966.00,"Gemini 10","Gemini 10","Gemini 10","Gemini 10",71.00,266.00,1.00,1.47,1.47
59,27.00,16.00,"Collins, Michael","Collins, Michael","M",1930.00,"U.S.","Civ","NASA- 3",1963.00,2.00,2.00,"pilot",1969.00,"Apollo 11","Apollo 11","Apollo 11","Apollo 11",195.00,266.00,0.00,0.00,1.47
60,28.00,17.00,"Gordon, Richard F., Jr.","Gordon, Richard F., Jr.","M",1929.00,"U.S.","Mil","NASA Astronaut Group 3",1963.00,1.00,2.00,"pilot",1966.00,"Gemini 11","Gemini 11","Gemini 11","Gemini 11",71.28,315.88,0.00,0.00,2.68
61,28.00,17.00,"Gordon, Richard F., Jr.","Gordon, Richard F., Jr.","M",1929.00,"U.S.","Mil","NASA Astronaut Group 4",1963.00,2.00,2.00,"pilot",1969.00,"Apollo 12","Apollo 12","Apollo 12","Apollo 12",244.60,315.88,2.00,2.68,2.68
62,29.00,18.00,"Aldrin, Edwin Eugene, Jr.","Aldrin, Edwin Eugene, Jr.","M",1930.00,"U.S.","Mil","NASA- 3",1963.00,1.00,2.00,"pilot",1966.00,"Gemini 12","Gemini 12","Gemini 12","Gemini 12",94.58,289.00,3.00,5.50,8.00
63,29.00,18.00,"Aldrin, Edwin Eugene, Jr.","Aldrin, Edwin Eugene, Jr.","M",1930.00,"U.S.","Mil","NASA- 3",1963.00,2.00,2.00,"pilot",1969.00,"Apollo 11","Apollo 11","Apollo 11","Apollo 11",195.00,289.00,1.00,2.50,8.00
64,30.00,19.00,"Eisele, Donn F.","Eisele, Donn F.","M",1930.00,"U.S.","Mil","NASA- 3",1963.00,1.00,1.00,"pilot",1968.00,"Apollo 7","Apollo 7","Apollo 7","Apollo 7",260.13,260.00,0.00,0.00,0.00
65,31.00,20.00,"Cunningham, Ronnie Walter","Cunningham, Ronnie Walter","M",1932.00,"U.S.","Civ","NASA- 3",1963.00,1.00,1.00,"pilot",1968.00,"Apollo 7","Apollo 7","Apollo 7","Apollo 7",260.13,260.13,0.00,0.00,0.00
66,100.00,50.00,"Savinykh, Viktor","Виктор Петрович Савиных","M",1940.00,"U.S.S.R/Russia","Civ","NPOE-4",1978.00,2.00,3.00,"flight engineer",1985.00,"Salyut 7","Soyuz T­13","Salyut 7","Soyuz T­14",4035.00,6065.63,0.00,0.00,5.00
67,100.00,50.00,"Savinykh, Viktor","Виктор Петрович Савиных","M",1940.00,"U.S.S.R/Russia","Civ","NPOE-4",1978.00,3.00,3.00,"flight engineer",1988.00,"2","Soyuz TM­5","Mir EP","Soyuz TM­4",236.00,6065.63,0.00,0.00,5.00
68,101.00,1.00,"Jugderdemidiin Gurragchaa","Жүгдэрдэмидийн Гүррагчаа","M",1947.00,"Mongolia","Civ","1978 Intercosmos Group",1978.00,1.00,1.00,"flight engineer",1981.00,"Soyuz 39","Soyuz 39","Soyuz 39","Soyuz 39",188.70,188.70,0.00,0.00,0.00
69,102.00,44.00,"Crippen, Robert L.","Crippen, Robert L.","M",1937.00,"U.S.","Mil","NASA- 7",1969.00,1.00,4.00,"pilot",1981.00,"STS-1","STS-1","STS-1","STS-1",54.00,565.00,0.00,0.00,0.00
70,102.00,44.00,"Crippen, Robert L.","Crippen, Robert L.","M",1937.00,"U.S.","Mil","NASA- 7",1969.00,2.00,4.00,"commander",1983.00,"STS-7","STS-7","STS-7","STS-7",146.00,565.00,0.00,0.00,0.00
71,102.00,44.00,"Crippen, Robert L.","Crippen, Robert L.","M",1937.00,"U.S.","Mil","NASA- 7",1969.00,3.00,4.00,"commander",1984.00,"STS-41-C","STS-41-C","STS-41-C","STS-41-C",168.00,565.00,0.00,0.00,0.00
72,102.00,44.00,"Crippen, Robert L.","Crippen, Robert L.","M",1937.00,"U.S.","Mil","NASA- 7",1969.00,4.00,4.00,"commander",1984.00,"STS-41-G","STS-41-G","STS-41-G","STS-41-G",197.00,565.00,0.00,0.00,0.00
73,103.00,1.00,"Dumitru Prunariu","Dumitru-Dorin Prunariu","M",1952.00,"Romania","Civ","1978 Intercosmos Group",1978.00,1.00,1.00,"MSP",1981.00,"Soyuz 40","Soyuz 40","Soyuz 40","Soyuz 40",188.70,188.70,0.00,0.00,0.00
74,104.00,45.00,"Engle, Joe H.","Engle, Joe H.","M",1932.00,"U.S.","Mil","NASA- 5",1966.00,1.00,2.00,"commander",1981.00,"STS-2","STS-2","STS-2","STS-2",30.00,224.00,0.00,0.00,0.00
75,104.00,45.00,"Engle, Joe H.","Engle, Joe H.","M",1932.00,"U.S.","Mil","NASA- 5",1966.00,2.00,2.00,"commander",1985.00,"STS-51-I","STS-51-I","STS-51-I","STS-51-I",170.00,224.00,0.00,0.00,0.00
76,105.00,46.00,"Truly, Richard H.","Truly, Richard H.","M",1937.00,"U.S.","Mil","1965 USAF MOL group 1",1969.00,1.00,2.00,"pilot",1981.00,"STS-2","STS-2","STS-2","STS-2",54.21,199.34,0.00,0.00,0.00
77,105.00,46.00,"Truly, Richard H.","Truly, Richard H.","M",1937.00,"U.S.","Mil","1965 USAF MOL group 1",1969.00,2.00,2.00,"commander",1983.00,"STS-8","STS-8","STS-8","STS-8",145.13,199.34,0.00,0.00,0.00
78,106.00,47.00,"Fullerton, Charles G.","Fullerton, Charles G.","M",1936.00,"U.S.","Mil","USAF MOL Group 2 
 NASA- 7",1969.00,1.00,2.00,"pilot",1982.00,"STS-3","STS-3","STS-3","STS-3",192.00,382.00,0.00,0.00,0.00
79,106.00,47.00,"Fullerton, Charles G.","Fullerton, Charles G.","M",1936.00,"U.S.","Mil","USAF MOL Group 2 
 NASA- 7",1969.00,2.00,2.00,"commander",1985.00,"STS-51-F","STS-51-F","STS-51-F","STS-51-F",190.00,382.00,0.00,0.00,0.00
80,107.00,51.00,"Berezovoy, Anatoly","Анатолий Николаевич Березовой","M",1942.00,"U.S.S.R/Russia","Mil","TsPK-5",1970.00,1.00,1.00,"commander",1982.00,"Salyut 7","Soyuz T­5","Salyut 7","Soyuz T­7",5073.00,5073.07,1.00,2.55,2.55
81,108.00,1.00,"Chrétien, Jean-Loup","Chrétien, Jean-Loup","M",1938.00,"France","Mil","CNES-1",1980.00,1.00,3.00,"MSP",1982.00,"Salyut 7","Soyuz T-6","Salyut 7","Soyuz T-6",190.00,1043.32,0.00,0.00,5.95
82,108.00,1.00,"Chrétien, Jean-Loup","Chrétien, Jean-Loup","M",1938.00,"France","Mil","CNES-1",1980.00,2.00,3.00,"MSP",1988.00,"Mir Aragatz","Soyuz TM-7","Mir","Soyuz TM-6",594.00,1043.32,1.00,5.95,5.95
83,108.00,1.00,"Chrétien, Jean-Loup","Chrétien, Jean-Loup","M",1938.00,"France","Mil","CNES-1",1980.00,3.00,3.00,"MSP",1997.00,"STS-86","STS-86","STS-86","STS-86",259.30,1043.32,0.00,0.00,5.95
84,109.00,48.00,"Hartsfield, Henry W., Jr.","Hartsfield, Henry W., Jr.","M",1933.00,"U.S.","Mil","NASA Astronaut Group 7",1969.00,1.00,3.00,"pilot",1982.00,"STS-4","STS-4","STS-4","STS-4",169.00,481.00,0.00,0.00,0.00
85,109.00,48.00,"Hartsfield, Henry W., Jr.","Hartsfield, Henry W., Jr.","M",1933.00,"U.S.","Mil","NASA Astronaut Group 7",1969.00,2.00,3.00,"commander",1984.00,"STS-41-D","STS-41-D","STS-41-D","STS-41-D",144.00,481.00,0.00,0.00,0.00
86,109.00,48.00,"Hartsfield, Henry W., Jr.","Hartsfield, Henry W., Jr.","M",1933.00,"U.S.","Mil","NASA Astronaut Group 7",1969.00,3.00,3.00,"commander",1985.00,"STS-61-A","STS-61-A","STS-61-A","STS-61-A",168.00,481.00,0.00,0.00,0.00
87,110.00,52.00,"Serebrov, Aleksandr","Александр Александрович Серебров","M",1944.00,"U.S.S.R/Russia","Civ","NPOE-4",1978.00,1.00,4.00,"flight engineer",1982.00,"Salyut 7","Soyuz T­7","Salyut 7","Soyuz T­5",189.00,8950.87,0.00,0.00,31.82
88,32.00,12.00,"Beregovoi, Georgi","БЕРЕГОВОЙ Георгий Тимофеевич","M",1921.00,"U.S.S.R/Russia","Mil","TsPK-2",1964.00,1.00,1.00,"commander",1968.00,"Soyuz 3","Soyuz 3","Soyuz 3","Soyuz 3",94.83,94.83,0.00,0.00,0.00
89,33.00,21.00,"Anders, William Alison","Anders, William Alison","M",1933.00,"U.S.","Civ","NASA- 3",1963.00,1.00,1.00,"pilot",1968.00,"Apollo 8","Apollo 8","Apollo 8","Apollo 8",147.00,147.00,0.00,0.00,0.00
90,34.00,13.00,"Shatalov, Vladimir","ШАТАЛОВ Владимир Александрович","M",1927.00,"U.S.S.R/Russia","Mil","TsPK-2",1963.00,1.00,3.00,"commander",1969.00,"Soyuz 4","Soyuz 4","Soyuz 4/Soyuz 5","Soyuz 4",71.33,237.92,0.00,0.00,0.00
91,34.00,13.00,"Shatalov, Vladimir","ШАТАЛОВ Владимир Александрович","M",1927.00,"U.S.S.R/Russia","Mil","TsPK-3",1963.00,2.00,3.00,"commander",1969.00,"Soyuz 8","Soyuz 8","Soyuz 8","Soyuz 8",118.00,237.92,0.00,0.00,0.00
92,34.00,13.00,"Shatalov, Vladimir","ШАТАЛОВ Владимир Александрович","M",1927.00,"U.S.S.R/Russia","Mil","TsPK-4",1963.00,3.00,3.00,"commander",1971.00,"Soyuz 10","Soyuz 10","Soyuz 10","Soyuz 10",47.00,237.92,0.00,0.00,0.00
93,35.00,14.00,"Volynov, Boris","ВОЛЫНОВ Борис Валентинович","M",1934.00,"U.S.S.R/Russia","Mil","TsPK-1",1960.00,1.00,2.00,"commander",1969.00,"Soyuz 5","Soyuz 5","Soyuz 5/Soyuz 4","Soyuz 5",72.00,1255.28,0.00,0.00,0.00
94,35.00,14.00,"Volynov, Boris","ВОЛЫНОВ Борис Валентинович","M",1934.00,"U.S.S.R/Russia","Mil","TsPK-1",1960.00,2.00,2.00,"commander",1976.00,"Soyuz 21","Soyuz 21","Soyuz 21","Soyuz 21",1182.00,1255.28,0.00,0.00,0.00
95,36.00,15.00,"Yeliseyev, Aleksei","ЕЛИСЕЕВ Алексей Станиславович","M",1934.00,"U.S.S.R/Russia","Civ","Korolyov-Group / Mishin-Group / TsKBEM-1",1968.00,1.00,3.00,"flight engineer",1969.00,"Soyuz 5/4","Soyuz 5","Soyuz 5/4","Soyuz 4",47.00,214.33,1.00,0.62,0.62
96,36.00,15.00,"Yeliseyev, Aleksei","ЕЛИСЕЕВ Алексей Станиславович","M",1934.00,"U.S.S.R/Russia","Civ","Korolyov-Group / Mishin-Group / TsKBEM-2",1968.00,2.00,3.00,"flight engineer",1969.00,"Soyuz 8","Soyuz 8","Soyuz 8","Soyuz 8",118.00,214.33,0.00,0.00,0.62
97,36.00,15.00,"Yeliseyev, Aleksei","ЕЛИСЕЕВ Алексей Станиславович","M",1934.00,"U.S.S.R/Russia","Civ","Korolyov-Group / Mishin-Group / TsKBEM-3",1968.00,3.00,3.00,"flight engineer",1971.00,"Soyuz 10","Soyuz 10","Salyut 1","Soyuz 10",47.00,214.33,0.00,0.00,0.62
98,37.00,16.00,"Khrunov, Yevgeny","ХРУНОВ Евгений Викторович","M",1933.00,"U.S.S.R/Russia","Mil","TsPK-1",1960.00,1.00,1.00,"MSP",1969.00,"Soyuz 5/4","Soyuz 5","Soyuz 5/4","Soyuz 4",48.17,47.75,1.00,0.62,0.62
99,38.00,22.00,"Schweickart, Russell L.","Schweickart, Russell L.","M",1935.00,"U.S.","Civ","1963 NASA group 3",1963.00,1.00,1.00,"pilot",1969.00,"apollo 9","apollo 9","apollo 9","apollo 9",241.00,241.00,1.00,1.13,1.13
